cohort_name,estimate,value,diagnostics,source
user_of_warfarin,Cohort overlap,"You would expect to see an overlap of 70-90% with hypertension, 30-50% with type 2 diabetes, 50-70% with hospitalised inpatient over a 5-year period, 90-100% with user of acetaminophen, 5-15% with user of morphine, and 20-40% for males with measurement of prostate specific antigen level. Overlap is expected due to shared risk factors for cardiovascular disease, the need for hospital care, and common medication use for pain management or other conditions.",compare_cohorts,gemini-2.5-flash
user_of_warfarin,Cohort timing,"Hypertension and type 2 diabetes typically precede warfarin initiation by many years. Hospitalised inpatient status can precede, be concurrent with, or follow warfarin initiation. Use of acetaminophen often precedes warfarin use by many years and is concurrent. Use of morphine is usually concurrent or follows, often in acute settings. Measurement of prostate specific antigen level usually precedes or is concurrent with warfarin use in older males, related to routine screening. Many chronic conditions like hypertension and type 2 diabetes typically manifest years before warfarin initiation, while hospitalisations and acute medication use can be concurrent or follow.",compare_cohorts,gemini-2.5-flash
user_of_warfarin,Frequently seen comorbidities,"Atrial fibrillation, Hypertension, Type 2 diabetes mellitus, Congestive heart failure, Ischaemic heart disease, History of stroke, History of deep vein thrombosis, History of pulmonary embolism, Peripheral arterial disease, Chronic kidney disease (These comorbidities often represent the primary indications for anticoagulation therapy or are common chronic conditions in the patient population requiring warfarin.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
user_of_warfarin,Frequently seen signs and symptoms,"Irregular heartbeat, Palpitations, Shortness of breath, Chest pain, Swelling of leg, Redness of leg, Leg pain, Haematuria, Melena, Ecchymosis (These signs and symptoms are either indicative of the thromboembolic conditions warfarin is prescribed to treat or are potential adverse effects of anticoagulation.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
user_of_warfarin,Frequently seen medications,"Aspirin, Metformin hydrochloride, Atenolol, Ramipril, Simvastatin, Furosemide, Digoxin, Paracetamol, Omeprazole, Levothyroxine sodium (These medications are frequently co-prescribed for managing cardiovascular diseases, diabetes, and other conditions common in patients requiring warfarin.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Clinical description,Measurement of prostate-specific antigen level is a blood test primarily used as a biomarker to screen for prostate cancer and monitor its progression or recurrence. Elevated levels can also indicate benign prostatic hyperplasia or prostatitis.,cohort_count,gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Frequency,"This is a frequently performed test in males, particularly those aged 50 and above, for prostate health evaluation. Cases can be readily identified in laboratory results from primary care, hospital records, and insurance claims data.",cohort_count,gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Median age of incident cases,"60 to 70 (Individuals typically present for prostate-specific antigen level measurement in their later middle age to older adult years, aligning with general screening recommendations and the increased incidence of prostate conditions with age.)",cohort_characteristics,gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Percentage male,"99% to 100% (Prostate-specific antigen is produced by the prostate gland, which is a male anatomical structure, thus virtually all individuals undergoing this measurement will be male.)",cohort_characteristics,gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Survival at five years,"85% to 95% (The overall five-year survival for a cohort undergoing prostate-specific antigen measurement is expected to be high, as many tests are for screening, monitoring benign conditions, or detecting highly treatable early-stage prostate cancers.)",cohort_survival,gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Cohort overlap,"You would expect to see an overlap of 40-70% with hypertension, 20-40% with type 2 diabetes, 10-30% with hospitalised inpatient, 5-15% with user of warfarin, 50-80% with user of acetaminophen, and 2-10% with user of morphine.",compare_cohorts,gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Cohort timing,"For people in the measurement of prostate-specific antigen level cohort who also appear in other cohorts, their entry into hypertension, type 2 diabetes, user of warfarin, and user of acetaminophen cohorts would typically be before or concurrent. Entry into the hospitalised inpatient cohort could be before, concurrent, or after, and entry into the user of morphine cohort would often be after the initial prostate-specific antigen measurement, especially if related to advanced disease, but can be concurrent or before for other reasons. These chronic conditions and common medication uses often pre-date or coincide with the diagnostic process for prostate conditions.",compare_cohorts,gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Frequently seen comorbidities,"Hypertension, type 2 diabetes, hyperlipidaemia, osteoarthritis, coronary artery disease, chronic kidney disease, congestive heart failure, chronic obstructive pulmonary disease, cerebrovascular disease, anxiety disorder. (These comorbidities are frequently seen because prostate-specific antigen measurement is typically performed in an older male population, which has a higher prevalence of these age-related chronic conditions.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Frequently seen signs and symptoms,"Urinary frequency, nocturia, weak urine stream, urinary urgency, incomplete bladder emptying, erectile dysfunction, pelvic pain, back pain, haematuria, dysuria. (These signs and symptoms are often associated with underlying prostate conditions such as benign prostatic hyperplasia, prostatitis, or prostate cancer, which prompt the prostate-specific antigen measurement.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
measurement_of_prostate_specific_antigen_level,Frequently seen medications,"Tamsulosin, finasteride, amlodipine, lisinopril, atorvastatin, metformin, paracetamol, acetylsalicylic acid, clopidogrel, sildenafil. (Medications such as alpha-blockers and 5-alpha-reductase inhibitors are used for benign prostate conditions, while others like antihypertensives, statins, and antidiabetics address common comorbidities in the age group undergoing prostate-specific antigen measurement.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
